domain_name,unified_sentiment,Sentences_clean,Aspects_clean,Aspects_sentiments_list,Aspects_list
Attractions,0.0,التجربة بشكل عام كانت متفاوتة، التذاكر ليست رخيصة ولا غالية بل في المعقول. التنظيم سيء جداً وهناك عشوائية في المكان وبالنسبة للفعاليات فالأنشطة و ممتعة جداً ومليئة بالحماس وبالنسبة للمكان فـ يعتبر جيد لقضاء بعض الوقت,التذاكر، التنظيم، الفعاليات، المكان,"[0, -1, 1, 0]","['التذاكر', 'التنظيم', 'الفعاليات', 'المكان']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: قيمة التذكرة عادية أما المكان فـ مساحة وتصميمه مقبول ولا بأس به أما الفعاليات فـ كانت تقليدية ومكررة,التذاكر، المكان، الفعاليات,"[0, 0, 0]","['التذاكر', 'المكان', 'الفعاليات']"
Restaurants,-1.0,التجربة بشكل عام كانت متفاوتة، أسوأ خدمة جربتها في حياتي بالإضافة إلى ذلك، الأكل مقبول لكنني تذوقت أفضل منه,الخدمة، الأكل,"[-1, 0]","['الخدمة', 'الأكل']"
Attractions,-1.0,قمت بتجربة هذا المكان وملاحظاتي هي: التنظيم داخل المرفق كان عاديا. وقيمة التذكرة عادية. والفعاليات مملة جداً ولا يوجد تجديد,التنظيم، التذاكر، الفعاليات,"[0, 0, -1]","['التنظيم', 'التذاكر', 'الفعاليات']"
Attractions,0.0,في زيارتي الأخيرة، الإدارة والتنظيم بمستوى مقبول، كما أن سعر التذاكر كان متوسطا ومقبولا,التنظيم، التذاكر,"[0, 0]","['التنظيم', 'التذاكر']"
Hotels,1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، أثاث الغرفة يبدو عادياً ليس حديثاً ولا قديماً جداً. وموقع الفندق ممتاز جداً وإطلالته خرافية أما الاستقبال فـ طاقم كان عادياً في التعامل,الغرفة، الموقع، الاستقبال,"[0, 1, 0]","['الغرفة', 'الموقع', 'الاستقبال']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: الإدارة والتنظيم بمستوى مقبول في حين أن الفعاليات مقبولة وتمضية وقت ليس إلا,التنظيم، الفعاليات,"[0, 0]","['التنظيم', 'الفعاليات']"
Restaurants,0.0,بصراحة، بالنسبة للأكل فهو بمستوى طبيعي. الأسعار ممتازة ورخيصة مقارنة بالكمية، كما أن الخدمة بطيئة للغاية والعمال غير مهتمين,الأكل، الأسعار، الخدمة,"[0, 1, -1]","['الأكل', 'الأسعار', 'الخدمة']"
Restaurants,0.0,قرأت تقييمات كثيرة وقررت التجربة، بالنسبة للأسعار فهي مقبولة إلى حد ما. نظافة المكان بشكل عام كانت مقبولة أما الخدمة فـ أسوأ خدمة جربتها في حياتي، كما أن الأكل مقبول لكنني تذوقت أفضل منه,الأسعار، النظافة، الخدمة، الأكل,"[0, 0, -1, 0]","['الأسعار', 'النظافة', 'الخدمة', 'الأكل']"
Restaurants,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، أسعار المنيو تعتبر طبيعية مقارنة بالمطاعم الأخرى في حين أن سرعة الخدمة كانت في المعدل الطبيعي والمقبول,الأسعار، الخدمة,"[0, 0]","['الأسعار', 'الخدمة']"
Restaurants,1.0,قمت بتجربة هذا المكان وملاحظاتي هي: نظافة المكان بشكل عام كانت مقبولة بالإضافة إلى ذلك، الأكل مقبول لكنني تذوقت أفضل منه وبالنسبة للخدمة فـ سريعة جداً وطاقم العمل ودود,النظافة، الأكل، الخدمة,"[0, 0, 1]","['النظافة', 'الأكل', 'الخدمة']"
Hotels,0.0,في زيارتي الأخيرة، وجبة الإفطار كانت عادية ولم تكن مميزة أما الغرفة فـ أثاث يبدو عادياً ليس حديثاً ولا قديماً جداً,الإفطار، الغرفة,"[0, 0]","['الإفطار', 'الغرفة']"
Hotels,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: الإفطار سيء جداً والخيارات محدودة في حين أن موقع المكان عادي ويمكن الوصول إليه بسهولة وبالنسبة للغرفة فـ مساحة كانت متوسطة كما توقعنا أما الاستقبال فـ إجراءات الدخول في كانت طبيعية ولم تستغرق وقتا طويلا أو قصيرا,الإفطار، الموقع، الغرفة، الاستقبال,"[-1, 0, 0, 0]","['الإفطار', 'الموقع', 'الغرفة', 'الاستقبال']"
Restaurants,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، نظافة المكان بشكل عام كانت مقبولة. كل الأطباق كانت مطبوخة باحترافية وطعمها خيال أما الخدمة فـ سرعة كانت في المعدل الطبيعي والمقبول. والأسعار مبالغ فيها وغالية جداً,النظافة، الأكل، الخدمة، الأسعار,"[0, 1, 0, -1]","['النظافة', 'الأكل', 'الخدمة', 'الأسعار']"
Hotels,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها وبالنسبة للموقع فـ مقبول ولا بأس به مقارنة بالسعر,الغرفة، الموقع,"[0, 0]","['الغرفة', 'الموقع']"
Hotels,1.0,التجربة بشكل عام كانت متفاوتة، الموقع مقبول ولا بأس به مقارنة بالسعر. الإفطار كان مقبولاً لكنه يفتقر للتنوع في حين أن موظفو الاستقبال في قمة الرقي والتعاون,الموقع، الإفطار، الاستقبال,"[0, 0, 1]","['الموقع', 'الإفطار', 'الاستقبال']"
Hotels,-1.0,في زيارتي الأخيرة، الإفطار سيء جداً والخيارات محدودة بالإضافة إلى ذلك، موقع الفندق يعتبر متوسطا من حيث القرب للخدمات,الإفطار، الموقع,"[-1, 0]","['الإفطار', 'الموقع']"
Hotels,0.0,التجربة بشكل عام كانت متفاوتة، وجبة الإفطار كانت عادية ولم تكن مميزة في حين أن بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها,الإفطار، الغرفة,"[0, 0]","['الإفطار', 'الغرفة']"
Restaurants,0.0,التجربة بشكل عام كانت متفاوتة، بالنسبة للأكل فهو بمستوى طبيعي بالإضافة إلى ذلك، السعر كان عاديا وليس مبالغا فيه أما النظافة فـ نظافة المكان بشكل عام كانت مقبولة في حين أن مستوى الخدمة لا بأس به,الأكل، الأسعار، النظافة، الخدمة,"[0, 0, 0, 0]","['الأكل', 'الأسعار', 'النظافة', 'الخدمة']"
Hotels,-1.0,قمت بتجربة هذا المكان وملاحظاتي هي: موقع المكان عادي ويمكن الوصول إليه بسهولة. وجودة الطعام في الإفطار كانت ضعيفة جداً,الموقع، الإفطار,"[0, -1]","['الموقع', 'الإفطار']"
Hotels,-1.0,الإفطار سيء جداً والخيارات محدودة وبالنسبة للاستقبال فـ كان مقبولا بشكل عام أما الغرفة فـ كانت عادية وتفي بالغرض,الإفطار، الاستقبال، الغرفة,"[-1, 0, 0]","['الإفطار', 'الاستقبال', 'الغرفة']"
Attractions,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، الفعاليات مملة جداً ولا يوجد تجديد بالإضافة إلى ذلك، فوضى عارمة وسوء تنظيم واضح,الفعاليات، التنظيم,"[-1, -1]","['الفعاليات', 'التنظيم']"
Restaurants,0.0,في زيارتي الأخيرة، بالنسبة للأكل فهو بمستوى طبيعي. المطعم نظيف لحد معقول. الخدمة في المطعم كانت روتينية، كما أن بالنسبة للأسعار فهي مقبولة إلى حد ما,الأكل، النظافة، الخدمة، الأسعار,"[0, 0, 0, 0]","['الأكل', 'النظافة', 'الخدمة', 'الأسعار']"
Hotels,1.0,بصراحة، موظفو الاستقبال في قمة الرقي والتعاون في حين أن موقع المكان عادي ويمكن الوصول إليه بسهولة، كما أن الإفطار كان مقبولاً لكنه يفتقر للتنوع في حين أن أعجبتني الغرفة بنظافتها الفائقة وتصميمها الرائع,الاستقبال، الموقع، الإفطار، الغرفة,"[1, 0, 0, 1]","['الاستقبال', 'الموقع', 'الإفطار', 'الغرفة']"
Attractions,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، المكان كئيب وممل جداً. وأسعار التذاكر غالية جداً ومبالغ فيها. وترتيب الدخول كان يسير بشكل طبيعي,المكان، التذاكر، التنظيم,"[-1, -1, 0]","['المكان', 'التذاكر', 'التنظيم']"
Restaurants,1.0,قرأت تقييمات كثيرة وقررت التجربة، الخدمة في المطعم كانت روتينية، كما أن نظافة المطعم ممتازة جداً أما الأسعار فـ قيمة رائعة مقابل المال و جداً معقولة,الخدمة، النظافة، الأسعار,"[0, 1, 1]","['الخدمة', 'النظافة', 'الأسعار']"
Hotels,0.0,قرأت تقييمات كثيرة وقررت التجربة، موقع الفندق سيء ويصعب الوصول إليه في حين أن أعجبتني الغرفة بنظافتها الفائقة وتصميمها الرائع وبالنسبة للإفطار فـ كان مقبولاً لكنه يفتقر للتنوع,الموقع، الغرفة، الإفطار,"[-1, 1, 0]","['الموقع', 'الغرفة', 'الإفطار']"
Attractions,1.0,في زيارتي الأخيرة، أسعار التذاكر رخيصة جداً ومناسبة للجميع وبالنسبة للتنظيم فـ مرتبين جداً و احترافي في حين أن المكان كئيب وممل جداً,التذاكر، التنظيم، المكان,"[1, 1, -1]","['التذاكر', 'التنظيم', 'المكان']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، التنظيم داخل المرفق كان عاديا، كما أن الأنشطة الموجودة لا بأس بها للأطفال بالإضافة إلى ذلك، أسعار الدخول طبيعية مقارنة بالفعاليات,التنظيم، الفعاليات، التذاكر,"[0, 0, 0]","['التنظيم', 'الفعاليات', 'التذاكر']"
Hotels,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، الغرفة كانت عادية وتفي بالغرض في حين أن واجهنا بطء شديد ومماطلة من موظفي الاستقبال,الغرفة، الاستقبال,"[0, -1]","['الغرفة', 'الاستقبال']"
Attractions,0.0,قرأت تقييمات كثيرة وقررت التجربة، لا بأس بالتنظيم بشكل عام بالإضافة إلى ذلك، الفعاليات مقبولة وتمضية وقت ليس إلا,التنظيم، الفعاليات,"[0, 0]","['التنظيم', 'الفعاليات']"
Attractions,0.0,بصراحة، الفعاليات كانت تقليدية ومكررة وبالنسبة للتنظيم فـ داخل المرفق كان عاديا,الفعاليات، التنظيم,"[0, 0]","['الفعاليات', 'التنظيم']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: التنظيم داخل المرفق كان عاديا بالإضافة إلى ذلك، المكان يعتبر جيد لقضاء بعض الوقت أما الفعاليات فالعروض المقدمة كانت في المستوى الطبيعي,التنظيم، المكان، الفعاليات,"[0, 0, 0]","['التنظيم', 'المكان', 'الفعاليات']"
Attractions,1.0,التجربة بشكل عام كانت متفاوتة، المكان ساحر وجميل جداً للتصوير. التنظيم رائع جداً وسلس للغاية، كما أن الفعاليات مقبولة وتمضية وقت ليس إلا. أسعار التذاكر رخيصة جداً ومناسبة للجميع,المكان، التنظيم، الفعاليات، التذاكر,"[1, 1, 0, 1]","['المكان', 'التنظيم', 'الفعاليات', 'التذاكر']"
